timestamp,elapsed_s,cycle,phase,actuator_state,trajectory_return,voltage,avg_temperature,position_gripper_joint,velocity_gripper_joint,force_gripper_joint,temperature_gripper_joint,error_gripper_joint,fingertip_gripper_join_left_x,fingertip_gripper_join_left_y,fingertip_gripper_join_left_z,fingertip_gripper_join_right_x,fingertip_gripper_join_right_y,fingertip_gripper_join_right_z
2026-07-28T17:39:36.697,0.14,0,close,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,46,10,19,4.08,46,0,0.0,0.0,0.0,0.24,-0.11,0.59
2026-07-28T17:39:37.711,1.156,0,close,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,46,33,-1,79.21,46,0,0.0,0.0,0.0,2.0,-0.68,0.57
2026-07-28T17:39:38.819,2.265,0,open,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,46,33,-2,37.05,46,0,0.0,0.0,0.0,2.13,-0.64,1.02
2026-07-28T17:39:39.814,3.265,0,open,ACTUATOR_ACTIVE,TRAJECTORY_COMPLETE,24.0,47,9,2,-1.59,47,0,0.0,0.0,0.0,0.58,-0.13,0.71
2026-07-28T17:39:40.924,4.375,1,close,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,47,10,17,4.69,47,0,0.0,0.0,0.0,0.5,-0.15,0.69
2026-07-28T17:39:41.915,5.359,1,close,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,47,33,-1,83.9,47,0,0.0,0.0,0.0,2.05,-0.68,-0.16
2026-07-28T17:39:43.031,6.484,1,open,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,47,33,-1,37.74,47,0,0.0,0.0,0.0,2.17,-0.69,0.27
2026-07-28T17:39:44.027,7.484,1,open,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,44,8,8,2.2,44,0,0.0,0.0,0.0,0.66,-0.07,0.77
2026-07-28T17:39:45.130,8.578,2,close,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,44,10,15,3.77,44,0,0.0,0.0,0.0,0.56,-0.1,0.71
2026-07-28T17:39:46.140,9.593,2,close,ACTUATOR_ACTIVE,TRAJECTORY_RUNNING,24.0,44,33,0,80.76,44,0,0.0,0.0,0.0,2.07,-0.69,-0.18
